city,state,latitude,longitude,population,msa,new_msa
mahopac,new york,41.37232,-73.73346,8369,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
seven hills,ohio,41.39533,-81.67624,11690,,united states__ohio__cleveland__MSA
jacksonville,oregon,42.31346,-122.96699,2883,Jacksonville FL MSA,united states__oregon__medford__MSA
tigerville,south carolina,35.06845,-82.36845,1312,Greenville-Mauldin-Easley SC MSA,united states__north carolina__asheville__MSA
yorktown,indiana,40.17365,-85.49414,11231,Muncie IN MSA,united states__indiana__indianapolis__MSA
marlborough,connecticut,41.6331,-72.4547,6368,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
gibbsboro,new jersey,39.83817,-74.96489,2244,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
haddon,new jersey,39.9063,-75.0625,14539,,united states__pennsylvania__philadelphia__MSA
bloomfield,new mexico,36.71112,-107.98451,7314,Farmington NM MSA,united states__new mexico__farmington__MSA
normal,alabama,34.789,-86.5719,0,Huntsville AL MSA,united states__alabama__huntsville__MSA
warrensburg,new york,43.49674,-73.77623,3103,Glens Falls NY MSA,united states__new york__queensbury__MSA
jeffersonville,vermont,44.64394,-72.82929,753,VT NONMETROPOLITAN AREA,united states__vermont__burlington__MSA
new carrollton,maryland,38.96983,-76.87997,12786,,united states__washington d c__washington__MSA
delran,new jersey,40.017,-74.9495,16548,,united states__pennsylvania__philadelphia__MSA
pickens,south carolina,34.88345,-82.70736,3173,Greenville-Mauldin-Easley SC MSA,united states__south carolina__greenville__MSA
fairview,tennessee,35.98201,-87.1214,8331,Nashville-Davidson-Murfreesboro-Franklin TN MSA,united states__tennessee__nashville__MSA
thornwood,new york,41.12343,-73.77902,3759,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
canaan,connecticut,42.02731,-73.32928,1212,CT NONMETROPOLITAN AREA,united states__massachusetts__springfield__MSA
contoocook,new hampshire,43.22202,-71.71397,1444,NH NONMETROPOLITAN AREA,united states__new hampshire__concord__MSA
valdese,north carolina,35.74069,-81.56315,4459,Hickory-Lenoir-Morganton NC MSA,united states__north carolina__lenoir__MSA
tuscola,illinois,39.7992,-88.2831,4443,IL NONMETROPOLITAN AREA,united states__illinois__champaign__MSA
menands,new york,42.69202,-73.72456,3998,,united states__new york__albany__MSA
middletown,virginia,39.02761,-78.28056,1315,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__virginia__middletown__MSA
littlestown,pennsylvania,39.74454,-77.08804,4478,PA NONMETROPOLITAN AREA,united states__pennsylvania__lancaster__MSA
ballston,virginia,38.8801,-77.1139,0,,united states__washington d c__washington__MSA
roaring spring,pennsylvania,40.33591,-78.39085,2537,Altoona PA MSA,united states__pennsylvania__altoona__MSA
holloman afb,new mexico,32.8483,-106.0998,4096,Las Cruces NM MSA,united states__new mexico__holloman afb__MSA
westville,new jersey,39.86789,-75.13156,4224,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
moncure,north carolina,35.62265,-79.07835,711,Durham NC MSA,united states__north carolina__raleigh__MSA
byfield,massachusetts,42.7598,-70.9481,0,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
kingston,new hampshire,42.93648,-71.05339,6225,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
thousand palms,california,33.82002,-116.39029,7715,Riverside-San Bernardino-Ontario CA MSA,united states__california__indio__MSA
tybee island,georgia,32.00022,-80.84567,3102,Savannah GA MSA,united states__georgia__savannah__MSA
sylvia park,california,34.115,-118.5818,0,,united states__california__los angeles__MSA
bladensburg,maryland,38.93928,-76.93386,9640,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
lexington,ohio,40.67867,-82.58239,4731,Lexington-Fayette KY MSA,united states__ohio__mansfield__MSA
marcy,new york,43.1732,-75.2662,9465,Utica-Rome NY MSA,united states__new york__syracuse__MSA
crescent springs,kentucky,39.05145,-84.58161,4010,,united states__ohio__cincinnati__MSA
salt river,kentucky,37.9792,-85.7125,0,,united states__kentucky__louisville__MSA
ecorse,michigan,42.24448,-83.14576,9257,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
grandview,washington,46.25097,-119.9017,11176,Yakima WA MSA,united states__washington__yakima__MSA
west henrietta,new york,43.04006,-77.66167,11691,Rochester NY MSA,united states__new york__rochester__MSA
trooper,pennsylvania,40.14983,-75.40185,5744,,united states__pennsylvania__philadelphia__MSA
westwego,louisiana,29.90604,-90.1423,8542,New Orleans-Metairie-Kenner LA MSA,united states__louisiana__new orleans__MSA
north st paul,minnesota,45.0137,-92.9995,12506,,united states__minnesota__minneapolis__MSA
glenmoore,pennsylvania,40.0868,-75.7819,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
auburn,new hampshire,43.00453,-71.3484,5089,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
fair lakes,virginia,38.853,-77.3885,8399,,united states__washington d c__washington__MSA
belville,north carolina,34.23073,-77.96582,1936,,united states__north carolina__wilmington__MSA
townsend,massachusetts,42.66676,-71.70507,1128,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
lomira,wisconsin,43.59138,-88.44371,2384,WI NONMETROPOLITAN AREA,united states__wisconsin__milwaukee__MSA
jefferson hills,pennsylvania,40.29118,-79.93199,11360,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
california polytechnic state university,california,35.3053,-120.6655,0,,united states__california__santa maria__MSA
